;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
12:53:47.171000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.172000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.173000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.174000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.175000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.176000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.177000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.178000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.179000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.180000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.181000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.182000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.183000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.184000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.185000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.186000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.187000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
12:53:47.188000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.189000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.190000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.191000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.192000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.193000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.194000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.195000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.196000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.197000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.198000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.199000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.200000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.201000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.202000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.203000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.204000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.205000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.206000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.207000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.208000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.209000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.210000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.211000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.212000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.213000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.214000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.215000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.216000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.217000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.218000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.219000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.220000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.221000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.222000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.223000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.224000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.225000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.226000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.227000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.228000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.229000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.230000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.231000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.232000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.233000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.234000;S2: Bearbeitung Heizen;55.150;55.340;0.000;0.000;0.000;0.000
12:53:47.235000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.236000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.237000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.238000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.239000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.240000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.241000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.242000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.243000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.244000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.245000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.246000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.247000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.248000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.249000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.250000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.251000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.252000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.253000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.254000;S2: Bearbeitung Heizen;55.150;55.360;0.000;0.000;0.000;0.000
12:53:47.255000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.256000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.257000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.258000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.259000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.260000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.261000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.262000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.263000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.264000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.265000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.266000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.267000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.268000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.269000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.270000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.271000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.272000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.273000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.274000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.275000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.276000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.277000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.278000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
12:53:47.279000;S2: Bearbeitung Heizen;55.140;55.360;0.000;0.000;0.000;0.000
