;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
09:22:23.352000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.353000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.354000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.355000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.356000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.357000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.358000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.359000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.360000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.361000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.362000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.363000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.364000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.365000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.366000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.367000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.368000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.369000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.370000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.371000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.372000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.373000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.374000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
