;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
10:08:07.069000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.070000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.071000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.072000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.073000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.074000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.075000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.076000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.077000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.078000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.079000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.080000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.081000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.082000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.083000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.084000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.085000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.086000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.087000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.088000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.089000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.090000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.091000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.092000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.093000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.094000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.095000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.096000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.097000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.098000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.099000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.100000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.101000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.102000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.103000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.104000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.105000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.106000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.107000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.108000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.109000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
